Title,Artist,Album,Year,Genre,URL,MV,Duration,Country,CountryName,Tags,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric,Views
Where the Wind Blows,Ado,Uta's Songs One Piece Film Red,2022,Classical Crossover,https://www.youtube.com/watch?v=YO-rXgQKlF8,True,4:47,JP,Japan,🏆 Best Music Video,3,0,2,0,0,0,4,My favorite music video of all time! Director Megumi Ishitani is a generational talent and her storyboards are pure works of art.,,36206631
Cellophane,FKA Twigs,Magdalene,2019,Art Pop,https://www.youtube.com/watch?v=YkLjqFpBh84,True,4:21,UK,United Kingdom,❤️ Music Video,5,0,0,0,0,0,5,,"I try, but I get overwhelmed / All wrapped in cellophane, the feelings that we had",22540648
Labyrinth,Mondo Grosso ,,,,https://www.youtube.com/watch?v=_2quiyHfJQw,,,,,,,,,,,,,,,
Weird Fishes/Arpeggi,Radiohead,In Rainbows,2008,Dream Pop,https://www.youtube.com/watch?v=OIdrE5igo-k,True,5:56,UK,United Kingdom,"❤️ Music Video, ⚠️ Sketchy Artist",2,0,0,0,0,5,1,,,78304
Goodbye,toe,For Long Tomorrow,2009,Midwest Emo,https://www.youtube.com/watch?v=e1pZIfretEs,True,4:29,JP,Japan,"❤️ Music Video, 🏆 Best Drumming",3,0,1,0,1,3,3,"I linked the music video above because it is genuinely amazing, but it only features an abridged version of the song. The full, superior version is 7-8 minutes long, see e.g. this [live peformance](https://www.youtube.com/watch?v=azSsMG6h8k0).",,5668045
Helna,My Chemical Romance,,,,https://www.youtube.com/watch?v=UCCyoocDxBA,,,,,,,,,,,,,,,
Home With You,FKA Twigs,,,,https://www.youtube.com/watch?v=p2Rro6TQgpU,,,,,,,,,,,,,,,
Good News,Mac Miller,Circles,2020,Neo-Soul,https://www.youtube.com/watch?v=aIHF7u9Wwiw,True,6:37,US,USA,🏆 Most Tears Shed,6,0,0,0,0,0,0,,There's a whole lot more for me waitin' on the other side / I'm always wonderin' if it feel like summer,160018724
Daydreaming,Radiohead,,,,https://www.youtube.com/watch?v=TTAU7lLDZYU,,,,,,,,,,,,,,,
"The Mountain, The Moon Cave and The Sad God",Gorillaz,,,,https://www.youtube.com/watch?v=ucRulNQsuYQ,,,,,,,,,,,,,,,
The Black Parade,My Chemical Romance,,,,https://www.youtube.com/watch?v=RRKJiM9Njr8,,,,,,,,,,,,,,,
One Last Kiss,Hikaru Utada,,,,https://www.youtube.com/watch?v=0Uhh62MUEic,,,,,,,,,,,,,,,
Why?,Devin Townsend,,,,https://www.youtube.com/watch?v=fT-uWOVP5q0,,,,,,,,,,,,,,,
A Flood of Light,Rolo Tomassi,Time Will Die and Love Will Bury It ,2018,Post-Metal,https://www.youtube.com/watch?v=hM_4Ty_ZHaU,True,7:31,UK,United Kingdom,Emotional Rollercoaster,3,3,2,1,0,3,4,,,86106
Police State Is Nervous,Dälek,,2014,Political Hip Hop,https://www.youtube.com/watch?v=gBByC9BebX4,True,04:08.00,US,USA,Anti-fascist Anthem,2,3,0,1,0,0,0,,,500000
Genesis,Devin Townsend,,,,https://www.youtube.com/watch?v=1n7uvokARQ4,,,,,,,,,,,,,,,
Sextape,Deftones,,,,https://www.youtube.com/watch?v=f0pdwd0miqs,,,,,,,,,,,,,,,
Sugar Water,Cibo Matto,,,,https://www.youtube.com/watch?v=EN9auBn6Jys,,,,,,,,,,,,,,,
Never Catch Me,Flying Lotus,,,,https://www.youtube.com/watch?v=2lXD0vv-ds8,,,,,,,,,,,,,,,
Alright,Kendrick Lamar,,,,https://www.youtube.com/watch?v=Z-48u_uWMHY,,,,,,,,,,,,,,,
The Loneliest Time,Carly Rae Jepsen,,,,https://www.youtube.com/watch?v=Sy0A0pQmGPM,,,,,,,,,,,,,,,
A Tear in the Fabric of Life,Knocked Loose,,,,https://www.youtube.com/watch?v=70cXs8hht_Q,,,,,,,,,,,,,,,
Not Like Us,Kendrick Lamar,,,,https://www.youtube.com/watch?v=H58vbez_m4E,,,,,,,,,,,,,,,
Wishes,Beach House,,,,https://www.youtube.com/watch?v=OS6duOoxctw,,,,,,,,,,,,,,,
$0.00,Cameron Winter,,,,https://www.youtube.com/watch?v=ETZKZzz7MWo,,,,,,,,,,,,,,,
N95,Kendrick Lamar,,,,https://www.youtube.com/watch?v=zI383uEwA6Q,,,,,,,,,,,,,,,
Movies,Weyes Blood,,,,https://www.youtube.com/watch?v=RFtRq6t3jOo,,,,,,,,,,,,,,,
Danny Nedelko,IDLES,,,,https://www.youtube.com/watch?v=QkF_G-RF66M,,,,,,,,,,,,,,,
All We Love We Leave Behind,Converge,,,,https://www.youtube.com/watch?v=akG2cFldO6I,,,,,,,,,,,,,,,
Honnou,Shiina Ringo,,,,https://www.youtube.com/watch?v=ECxBHhMc7oI,,,,,,,,,,,,,,,
It’s Oh So Quiet,Björk,,,,https://www.youtube.com/watch?v=htobTBlCvUU,,,,,,,,,,,,,,,
Kasuka na Kaori,Perfume,,,,https://www.youtube.com/watch?v=vjBRxHq_mxM,,,,,,,,,,,,,,,
New Tribe,Powder,,,,https://www.youtube.com/watch?v=zJE1HoHabMw,,,,,,,,,,,,,,,
Somewhere Near Marseilles,Hikaru Utada,,,,https://www.youtube.com/watch?v=B-ekrqGuWTc,,,,,,,,,,,,,,,
