Title,Subtitle,Author,Year,Genres,Rating,CoverFile,Tags,Comment,Country,CountryName
The Divide,A Brief Guide to Global Inequality and its Solutions,Jason Hickel,2017,"Politics, History, Economics",10,book_the_divide.jpg,⭐ Essential Reading,,,
Less Is More,How Degrowth Will Save the World,Jason Hickel,2021,"Economics, Politics",9,book_less_more.jpg,,,,
Merchants of Doubt,How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming ,Naomi Oreskes & Erik M. Conway,2010,"Politics, Science",9,book_merchants_of_doubt.jpeg,⭐ Essential Reading,,US,United States
Why Trust Science?,,Naomi Oreskes,2019,"Science, Philosophy, Epistemology",9,book_why_trust_science.jpg,,,,
Bad Science,"Quacks, Hacks, and Big Pharma Flacks",Ben Goldacre,2008,Science,9,book_bad_science.jpeg,,,,
The Myth of American Idealism,How U.S. Foreign Policy Endangers the World,Nathan J. Robinson & Noam Chomsky,2024,"History, Politics",10,book_myth_american.jpeg,⭐ Essential Reading,,,
Blackshirts & Reds,Rational Fascism and the Overthrow of Communism,Michael Parenti,1997,"History, Politics",9,book_blackshirts_reds.jpg,,,,
Regenesis,Feeding the World Without Devouring the Planet,George Monbiot,2022,Environment,10,book_regenesis.jpeg,⭐ Essential Reading,,,
Doppelganger,A Trip into the Mirror World,Naomi Klein,2023,"Memoir, Politics",10,book_doppelganger.jpeg,❤️ Personal Favorite,,,
This Is Vegan Propaganda,(And Other Lies the Meat Industry Tells You),Ed Winters,2022,"Ethics, Health, Environment",9,book_veganism.jpg,⭐ Essential Reading,,,
Educated,,Tara Westover,2018,"Memoir, Education",10,book_educated.jpeg,❤️ Personal Favorite,,,
Adults in the Room,My Battle with Europe's Deep Establishment ,Yanis Varoufakis,2017,"Memoir, Politics, Finance",10,book_adults_room.jpg,❤️ Personal Favorite,,,
Foundations of Economics,A Beginner's Companion,Yanis Varoufakis,1998,"Economics, Politics",10,book_foundations_of_economics.jpeg,⭐ Essential Reading,,,
Doughnut Economics,Seven Ways to Think Like a 21st-Century Economist,Kate Raworth,2017,Economics,9,book_doughnut_economics.jpeg,⭐ Essential Reading,,,
Road to Nowhere,What Silicon Valley Gets Wrong about the Future of Transportation,Paris Marx,2022,Technology,8,book_road_to_nowhere.jpeg,,,,
"Poverty, by America",,Matthew Desmond,2023,"Sociology, Politics",8,book_poverty_america.png,,,,
Control,The Dark History and Troubling Present of Eugenics,Adam Rutherford,2022,"History, Science",8,book_control.jpg,,,,
How Fascism Works,The Politics of Us and Them ,Jason Stanley,2018,Politics,8,book_how_fascism.jpg,,,,
"One Day, Everyone Will Have Always Been Against This",,Omar El Akkad,2025,"Memoir, Politics",9,book_one_day.jpg,,,,
Science in Resistance,The Scientist Rebellion for Climate Justice ,Fernando Racimo,2025,"Science, Academia, Environment, Politics",9,book_science_resistance.jpeg,,,,
The Language of Climate Politics,Fossil-Fuel Propaganda and How to Fight It ,Genevieve Guenther,2024,"Politics, Environment",8,book_language_climat.jpeg,,,,
In the Realm of Hungry Ghosts,Close Encounters with Addiction,Gabor Maté,2008,Health,8,book_hungry_ghosts.jpg,,,,
"A Spectre, Haunting",On the Communist Manifesto,China Miéville,2022,"Politics, Marxism",8,book_spectre_haunting.jpeg,,,,
The Fire Next Time,,James Baldwin,1963,Essays,9,book_fire_next.jpeg,,,,
At the Café,Conversations on Anarchism,Errico Malatesta,1922,Politics,8,book_cafe_anarchism.jpg,,,,
A Brief History of Neoliberalism,,David Harvey,2005,"History, Politics, Economics",8,book_histoy_neoliberalism.jpg,,,,
Capitalism vs. Freedom,The Toll Road to Serfdom,Rob Larson,2018,"Economics, Politics",8,book_capitalism_serfdom.jpg,,,,
Post-Scarcity Anarchism,,Murray Bookchin,1971,Politics,8,book_post_scarcity.jpg,,,,
Whipping Girl,A Transsexual Woman on Sexism and the Scapegoating of Femininity,Julia Serano,2007,"Feminism, LGBTQ",8,book_whipping_girl.jpg,,,,
This Changes Everything,Capitalism vs. the Climate,Naomi Klein,2014,"Environment, Economics, Politics",9,book_changes_everything.jpg,,,,
Caliban and the Witch,"Women, the Body and Primitive Accumulation",Silvia Federici,2004,"History, Feminism, Marxism",8,book_caliban_witch.jpg,,,,
Democracy at Work,A Cure for Capitalism,Richard D. Wolff,2012,"Economics, Politics",8,book_democracy_work.jpg,,,,
Homage to Catalonia,,George Orwell,1938,"Memoir, War",9,book_homage_catalonia.jpg,,,,
The Trouble with Physics,"The Rise of String Theory, the Fall of a Science and What Comes Next ",Lee Smolin,2006,"Science, Physics, Academia",8,book_trouble_physics.jpeg,,,,
Reality Is Not What It Seems,The Journey to Quantum Gravity ,Carlo Rovelli,2014,"Science, Physics",8,book_reality_seems.jpg,,,,
The Art of Loving,,Erich Fromm,1956,Philosophy,8,book_art_loving.jpg,,,,
Foolproof,Why Misinformation Infects Our Minds and How to Build Immunity ,Sander van der Linden,2023,Psychology,7,book_foolproof.png,,,,
The Current Affairs Rules for Life,On Social Justice & Its Critics,Nathan J. Robinson,2018,"Essays, Politics",9,book_current_affairs.jpg,,,,
Unreliable,"Bias, Fraud, and the Reproducibility Crisis in Biomedical Research",Csaba Szabo,2025,"Science, Academia",7,book_unreliable.jpeg,,,,
A Very Short History of the Israel–Palestine Conflict,,Ilan Pappé,2024,History,8,book_short_history.jpeg,,,,
Out of the Wreckage,A New Politics in the Age of Crisis,George Monbiot,2017,"Politics, Environment",8,book_out_wreckage.jpg,,,,
Pedagogy of the Oppressed,,Paulo Freire,1968,"Education, Philosophy",7,book_pedagogy_oppressed.jpg,,,,
Künstliche Intelligenz und der Sinn des Lebens,,Richard David Precht,2020,"Philosophy, Technology",8,book_ki_sinn.jpeg,,,,
Freedom Is a Constant Struggle,"Ferguson, Palestine, and the Foundations of a Movement",Angela Davis,2015,Politics,7,book_freedom_constant.jpg,,,,
23 Things They Don't Tell You about Capitalism,,Ha-Joon Chang,2010,"Economics, Politics",7,book_23_capitalism.jpg,,,,
Slow Down or Die,The Economics of Degrowth,Timothée Parrique,2025,"Economics, Politics, Environment",10,book_slow_down.jpg,⭐ Essential Reading,,,
Is Science Enough?,Forty Critical Questions About Climate Justice,Aviva Chomsky,2022,"Environment, Politics, Economics",8,book_science_enough.jpg,,,,
